book_id,title,publication_date,stock_quantity,avarage_rating,price,genre_name,author_name,nationality
6,The Time Traveler's Diary,30/03/2022,34,4.6,97.37,Horror,Luisa Rodrigues,Portuguese
8,Whispers from Another Dimension,10/05/2022,25,4.6,52.23,Adventure,Sophie Dupont,French
15,Epic Adventures Beyond Time,28/04/2022,35,4.6,106.75,Travel,Chen Wei,Chinese
18,The Secrets of the Sphinx,15/03/2023,35,4.6,64.94,Poetry,Anastasia Papadopoulos,Greek
24,Realm of Dragons and Sorcery,15/09/2023,15,4.6,105.69,Science Fiction Fantasy,Sofia Ivanov,Russian
29,The Odyssey of the Space Explorers,10/02/2024,35,4.6,21.01,Politics,Rajesh Kapoor,Indian
33,The Arctic Expedition Chronicles,20/10/2022,25,4.6,55.13,Sports,Irina Petrova,Russian
39,Scandinavian Folklore and Myths,20/04/2022,35,4.6,117.22,Science Fiction Romance,Maria Garcia,Spanish
42,Tales from the Finnish Sauna,03/01/2022,30,4.6,63.36,Dystopian,Isabella Rossi,Italian
46,The Art of Mindful Living,15/11/2022,25,4.6,102.37,Time Travel,Sara Fernández,Spanish
53,Healthy Cooking Made Easy,20/04/2022,35,4.6,36.39,Erotica,Maria Ivanova,Russian
58,Organize Your Space and Life,10/11/2021,20,4.6,45.98,Environment,Eleni Papadopoulos,Greek
62,Healthy Aging: Fountain of Youth,30/07/2021,40,4.6,57.83,Politics,Camila Hernandez,Mexican
66,Exploring the Cosmos: A Journey to the Stars,15/11/2022,30,4.6,72.84,Environment,Isabella Lopez,Argentinian
73,The Cosmic Journey: From Earth to the Stars,20/04/2022,35,4.6,25.7,Crime,Miguel Ruiz,Mexican
78,Exploring the Unknown: Deep Space Discoveries,10/11/2021,30,4.6,83.43,Business,Ananya Gupta,Indian
82,Hubble's Legacy: Capturing the Universe in Images,30/07/2021,30,4.6,84.23,Self-Help,Kazuki Tanaka,Japanese
91,The Roots of Culture: Ancestral Traditions,10/06/2008,30,4.6,56.82,Travel,Mariusz Kowalski,Polish
96,Traditions Around the World: A Journey in Time,03/01/2005,25,4.6,70.11,Science Fiction Fantasy,Andriy Shevchenko,Ukrainian
103,Cultural Cornerstones: Practices and Customs,04/06/2005,20,4.6,14.65,Erotica,Lucie Kovarova,Czech
111,Metaphysical Musings,10/06/1993,30,4.6,87.78,Adventure,Zane Bērziņa,Latvian
116,A History of Philosophy,03/05/1992,25,4.6,79.01,Chick Lit,Jean-Pierre Dupont,French
123,The Art of Rational Thinking,04/05/1994,20,4.6,34.38,Time Travel,Isabel Martinez,Spanish
133,Revolutionary Movements,30/03/2021,40,4.6,43.04,Science,Mohammed Abubakar,Nigerian
150,Intriguing Investigations,10/07/2013,50,4.6,69.04,Philosophy,Jack Harris,Palauan
165,A Love Story,20/07/2017,50,4.6,68.45,Paranormal,Henrik Lindqvist,Swedish
180,The Chase,10/10/2021,50,4.6,9.82,Fantasy,Sofia Morales,El Salvador
194,Mouthwatering Mediterranean Cuisine,14/11/2020,30,4.6,95.22,Poetry,Manuel Soto,Haiti
201,Gourmet Grilling Techniques,22/07/2021,35,4.6,99.23,Time Travel,Elena Pena,Saint Vincent and the Grenadines
207,Mediterranean Meze and Tapas,15/05/2020,55,4.6,81.35,Cooking,Antonia Rivera,Curacao
217,Road Tripping Across the USA,15/11/2021,35,4.6,7.74,Health,Roberto Rodriguez,Surinam
219,African Safari Tales,12/05/2022,25,4.6,18.69,Historical Fiction,Liu Wei,Chinese
