book_id,title,publication_date,ISBN,stock_quantity,avarage_rating,price
1,"The Starry Chronicles",2022-03-15,1781234567890,42,4.5,54.08
2,"Secrets of the Enchanted Forest",2022-05-20,1782345678901,39,2.8,81.09
3,"The Lost City of Atlantis",2022-04-10,1783456789012,29,4.7,77.66
4,"Journey to the Cosmic Frontier",2022-06-25,9784567890123,57,4.4,44.41
5,"The Quest for Eternal Wisdom",2022-02-12,1785678901234,18,4.3,29.89
6,"The Time Traveler's Diary",2022-03-30,9786789012345,34,4.6,97.37
7,"Infinite Realms of Imagination",2022-08-18,1787890123456,5,5.0,104.11
8,"Whispers from Another Dimension",2022-05-10,9788901234567,25,4.6,52.23
9,"The Island of Forgotten Dreams",2022-07-22,1789012345678,45,4.2,21.87
10,"Voyage to the End of the Universe",2022-11-01,9780123456789,30,4.8,8.10
11,"Chronicles of the Galactic Heroes",2022-09-14,9783456789012,14,4.4,45.33
12,"Legends of the Starry Skies",2022-10-05,9785678901234,40,4.7,77.16
13,"Realm of Eternal Wonder",2022-08-03,9782345678901,30,4.5,72.05
14,"Mysteries of the Quantum Realm",2022-07-12,9787890123456,25,4.2,116.33
15,"Epic Adventures Beyond Time",2022-04-28,9789012345678,35,4.6,106.75
16,"The Enchanted Kingdom",2023-01-05,1781122334455,20,4.3,37.38
17,"Legends of the Lost Temple",2023-02-10,1782233445566,40,4.7,109.74
18,"The Secrets of the Sphinx",2023-03-15,1783344556677,35,4.6,64.94
19,"Voyage to the Underwater Realm",2023-04-20,1784455667788,30,4.5,34.02
20,"Chronicles of the Hidden Scrolls",2023-05-25,1785566778899,45,4.2,98.43
21,"Epic Adventures of the Brave Knight",2023-06-30,1786677889900,25,4.4,51.84
22,"Mysteries of the Forest Elves",2023-07-05,1787788990011,50,4.8,47.04
23,"Journey to the Magic Kingdom",2023-08-10,9788899001122,30,4.1,93.16
24,"Realm of Dragons and Sorcery",2023-09-15,1789900112233,15,4.6,105.69
25,"Quest for the Crystal Chalice",2023-10-20,1780011223344,35,4.2,112.98
26,"Secrets of the Celestial Stars",2023-11-25,2781122334455,40,4.5,104.89
27,"The Mystic Chronicles",2023-12-30,9782233445566,30,4.7,7.21
28,"The Lost Artifact of Time",2024-01-05,2783344556677,25,4.3,38.74
29,"The Odyssey of the Space Explorers",2024-02-10,2784455667788,35,4.6,21.01
30,"Tales of the Enchanted Forest",2024-03-15,2785566778899,20,4.4,51.40
31,"Nordic Mysteries: A Journey Through Scandinavia",2022-12-10,9781122334451,20,4.5,113.35
32,"Tales of Icelandic Legends",2022-11-15,1782233445561,29,4.4,105.57
33,"The Arctic Expedition Chronicles",2022-10-20,1783344556671,25,4.6,55.13
34,"Legends of the Northern Lights",2022-09-25,1784455667781,35,4.3,10.35
35,"The Viking Sagas: Warriors of the North",2022-08-30,1785566778891,40,4.7,22.98
36,"Fjords and Fairytales",2022-07-05,1786677889901,30,4.2,16.08
37,"The Northern Enchantment",2022-06-10,2787788990011,15,4.8,67.95
38,"Tales of the Sami Reindeer Herders",2022-05-15,1788899001121,25,4.4,74.35
39,"Scandinavian Folklore and Myths",2022-04-20,1789900112231,35,4.6,117.22
40,"Legends of the Baltic Sea",2022-03-25,1780011223341,30,4.1,118.97
41,"The Whispering Woods of Norway",2022-02-28,9781122334452,40,4.5,110.38
42,"Tales from the Finnish Sauna",2022-01-03,9782233445562,30,4.6,63.36
43,"Nordic Cuisine: Flavors of the North",2021-12-05,9783344556672,25,4.7,101.33
44,"The Mystical Lapland",2021-11-10,1784455667782,20,4.3,89.93
45,"Journey to the Sami Lands",2021-10-15,9785566778892,15,4.8,112.93
46,"The Art of Mindful Living",2022-11-15,9781122334453,25,4.6,102.37
47,"Healthy Habits for a Better You",2022-10-20,9782233445563,30,4.3,35.89
48,"Simplify Your Life: Decluttering Guide",2022-09-25,9783344556673,20,4.7,9.95
49,"Finding Balance: Work and Life",2022-08-30,1784455667783,40,4.4,107.44
50,"The Joy of Minimalism",2022-07-05,9785566778893,35,4.8,51.95
51,"Living with Purpose and Passion",2022-06-10,9786677889903,30,4.5,66.68
52,"Mindful Parenting: Raising Happy Kids",2022-05-15,9787788990013,25,4.2,55.63
53,"Healthy Cooking Made Easy",2022-04-20,9788899001123,35,4.6,36.39
54,"The Power of Positivity",2022-03-25,9789900112233,30,4.4,85.57
55,"Happiness in Everyday Life",2022-02-28,9780011223343,40,4.7,21.68
56,"Achieving Financial Freedom",2022-01-03,9781122334454,30,4.5,72.26
57,"The Well-Being Revolution",2021-12-05,9782233445564,25,4.8,119.29
58,"Organize Your Space and Life",2021-11-10,9783344556674,20,4.6,45.98
59,"Living Green: Sustainable Lifestyle",2021-10-15,1784455667784,15,4.3,86.84
60,"Embrace the Outdoors: Nature Connection",2021-09-20,9785566778894,30,4.7,9.96
61,"The Mind-Body Connection",2021-08-25,9786677889904,35,4.4,29.72
62,"Healthy Aging: Fountain of Youth",2021-07-30,9787788990014,40,4.6,57.83
63,"Nourish Your Soul: Self-Care Essentials",2021-06-04,9788899001124,30,4.5,74.29
64,"Stress Less: Anxiety Management",2021-05-09,9789900112234,20,4.8,42.67
65,"Resilience: Bouncing Back Stronger",2021-04-14,9780011223344,25,4.7,111.13
66,"Exploring the Cosmos: A Journey to the Stars",2022-11-15,3781122334455,30,4.6,72.84
67,"Astrobiology and the Search for Extraterrestrial Life",2022-10-20,2782233445566,25,4.3,52.55
68,"The Great Space Odyssey: Humans on Mars",2022-09-25,9783344556675,35,4.7,99.41
69,"Adventures in Zero Gravity",2022-08-30,1784455667785,40,4.4,9.81
70,"Stellar Phenomena: Mysteries of the Universe",2022-07-05,9785566778895,20,4.8,73.97
71,"Alien Worlds: Exploring Exoplanets",2022-06-10,9786677889905,30,4.5,60.46
72,"Black Holes and Wormholes: Portals to the Unknown",2022-05-15,9787788990015,25,4.2,41.33
